                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1745,                 1.2005,                0.83568,                0.69016,                0.63614,                0.61605,                0.27084,                 2.0863,                  2.904,                0.94031,             0.00099871,             0.00099871,             0.00099871
                     36,                 1.1527,                 1.1668,                0.83358,                0.67442,                0.63065,                0.58134,                0.24034,                 2.1752,                 3.2742,                0.94931,             0.00099863,             0.00099863,             0.00099863
                     37,                 1.1479,                 1.1471,                0.81539,                0.65892,                0.61386,                0.61506,                0.25297,                 2.2546,                 3.2348,                0.95564,             0.00099855,             0.00099855,             0.00099855
                     38,                 1.1645,                  1.156,                0.83726,                0.69008,                0.63614,                0.60041,                0.25141,                 2.0982,                 3.3566,                 0.9371,             0.00099847,             0.00099847,             0.00099847
                     39,                 1.1573,                  1.155,                0.83603,                0.67854,                0.63742,                0.63445,                0.28376,                 1.9994,                 2.8235,                0.92686,             0.00099839,             0.00099839,             0.00099839
                     40,                 1.1576,                 1.1661,                0.83227,                0.68624,                0.66048,                0.63109,                0.27706,                 2.0656,                  2.795,                0.94799,              0.0009983,              0.0009983,              0.0009983
                     41,                 1.1372,                 1.1289,                0.82609,                0.66952,                0.68564,                0.65793,                0.27657,                 2.0282,                 2.7984,                0.92878,             0.00099822,             0.00099822,             0.00099822
                     42,                 1.1243,                 1.1299,                0.83007,                0.69442,                0.59624,                0.63947,                0.25514,                 2.2145,                 2.9365,                0.95661,             0.00099813,             0.00099813,             0.00099813
                     43,                 1.1157,                 1.0992,                0.83308,                0.71758,                0.61005,                  0.646,                0.27344,                 2.2078,                 3.0456,                0.95657,             0.00099803,             0.00099803,             0.00099803
                     44,                 1.0961,                 1.0753,                0.82783,                0.68597,                0.64851,                  0.649,                 0.2542,                 2.2069,                 2.9818,                0.95299,             0.00099794,             0.00099794,             0.00099794
                     45,                 1.0889,                 1.0745,                0.82397,                0.68551,                0.60891,                0.61166,                0.27547,                 2.0649,                 3.1134,                0.94195,             0.00099784,             0.00099784,             0.00099784
                     46,                 1.1029,                 1.0775,                0.83406,                0.65853,                0.63012,                0.63047,                0.24844,                 2.1628,                 2.8864,                0.94842,             0.00099775,             0.00099775,             0.00099775
                     47,                 1.0801,                 1.0774,                0.82216,                0.71013,                0.63614,                0.65252,                0.28039,                 2.1265,                 2.8229,                0.94677,             0.00099765,             0.00099765,             0.00099765
                     48,                 1.0925,                 1.1328,                0.82273,                0.70744,                0.67035,                0.63505,                0.28042,                 2.0556,                 2.9835,                0.94669,             0.00099754,             0.00099754,             0.00099754
                     49,                 1.1037,                 1.0797,                0.82814,                0.67785,                0.71355,                0.67453,                0.28181,                  2.119,                 2.7576,                0.94231,             0.00099744,             0.00099744,             0.00099744
                     50,                 1.0932,                 1.0523,                0.82634,                0.69492,                0.48489,                0.57267,                0.23328,                 2.2835,                 4.1307,                0.97306,             0.00099733,             0.00099733,             0.00099733
                     51,                 1.0462,                 1.0477,                0.81746,                 0.6272,                0.68812,                0.62848,                0.27041,                 2.0915,                 2.9348,                0.93227,             0.00099722,             0.00099722,             0.00099722
                     52,                 1.0592,                 1.0602,                0.81897,                  0.711,                0.63861,                0.66821,                0.27618,                 2.0742,                 2.8006,                0.94419,             0.00099711,             0.00099711,             0.00099711
                     53,                 1.0535,                 1.0358,                0.82642,                 0.6969,                0.66017,                0.67411,                0.28207,                 2.1276,                  3.058,                0.93901,             0.00099699,             0.00099699,             0.00099699
                     54,                 1.0737,                 1.0264,                0.83078,                0.66561,                0.59617,                 0.6106,                0.26653,                 2.1173,                 3.0177,                0.94041,             0.00099688,             0.00099688,             0.00099688
                     55,                 1.0311,                 1.0077,                  0.824,                0.69053,                0.66089,                0.63355,                0.26804,                 2.1352,                 3.0849,                 0.9451,             0.00099676,             0.00099676,             0.00099676
                     56,                 1.0758,                 1.0378,                0.83258,                0.65686,                0.62129,                0.63086,                 0.2552,                 2.2459,                 3.4685,                0.96139,             0.00099664,             0.00099664,             0.00099664
                     57,                 1.0053,                0.99497,                0.81898,                0.68488,                0.72626,                0.68935,                0.30793,                 2.0711,                 2.8502,                0.92641,             0.00099652,             0.00099652,             0.00099652
                     58,                 1.0203,                 1.0068,                0.81442,                0.64583,                0.69058,                0.64695,                0.29334,                 2.0381,                 2.9347,                0.93859,             0.00099639,             0.00099639,             0.00099639
                     59,                 1.0244,                 1.0146,                0.81594,                0.66005,                0.69207,                0.66979,                0.28613,                 2.0384,                 2.8588,                0.92311,             0.00099626,             0.00099626,             0.00099626
                     60,                0.99472,                0.97649,                0.80393,                0.69499,                0.64298,                0.64831,                0.28938,                 1.9995,                 2.9324,                0.92512,             0.00099613,             0.00099613,             0.00099613
                     61,                 1.0126,                0.97801,                0.81309,                0.68505,                0.66337,                0.64533,                0.29149,                 2.0034,                 3.1261,                0.93411,               0.000996,               0.000996,               0.000996
                     62,                 1.0123,                0.97834,                0.82431,                0.69538,                0.64356,                0.65978,                 0.2822,                 2.0109,                 2.8072,                0.93709,             0.00099587,             0.00099587,             0.00099587
                     63,                0.99384,                0.96293,                0.81961,                0.69101,                 0.7104,                0.69681,                 0.3139,                 1.9745,                 2.5758,                0.92149,             0.00099573,             0.00099573,             0.00099573
                     64,                0.98667,                0.95634,                 0.8142,                0.65933,                0.62871,                0.63033,                0.26052,                 2.1679,                 3.0297,                0.94898,             0.00099559,             0.00099559,             0.00099559
                     65,                 1.0197,                0.99783,                0.81693,                0.65616,                0.69908,                0.62905,                0.27527,                 1.9956,                  2.699,                 0.9345,             0.00099545,             0.00099545,             0.00099545
                     66,                 1.0192,                 1.0098,                0.81878,                0.67443,                0.64609,                0.66133,                0.29192,                 2.0383,                 2.7801,                0.92747,             0.00099531,             0.00099531,             0.00099531
                     67,                 1.0108,                0.98521,                0.81383,                0.68099,                0.65594,                0.67019,                0.27663,                 2.0794,                 2.8174,                0.92548,             0.00099517,             0.00099517,             0.00099517
                     68,                0.97325,                0.98373,                0.81494,                0.69428,                0.68016,                0.68732,                0.30053,                 2.0687,                 2.8043,                0.94086,             0.00099502,             0.00099502,             0.00099502
                     69,                0.96623,                 0.9705,                0.81384,                0.70174,                0.59984,                0.65137,                0.26691,                 2.1622,                 2.9019,                0.96071,             0.00099487,             0.00099487,             0.00099487
                     70,                 0.9688,                0.96601,                0.81557,                0.69214,                0.65347,                0.65921,                0.29255,                 2.0529,                 2.7743,                0.93229,             0.00099472,             0.00099472,             0.00099472
                     71,                0.95832,                 0.9508,                0.81219,                0.65575,                0.66337,                 0.6469,                0.26674,                 2.0898,                 2.9472,                0.95685,             0.00099457,             0.00099457,             0.00099457
                     72,                0.98108,                0.95676,                0.80683,                 0.6769,                0.69554,                0.67851,                 0.2822,                 2.0797,                 2.6833,                0.95307,             0.00099441,             0.00099441,             0.00099441
                     73,                0.99633,                0.96819,                0.80857,                0.69302,                0.67056,                  0.681,                0.29684,                 2.0055,                 2.6244,                0.93531,             0.00099425,             0.00099425,             0.00099425
                     74,                0.96068,                0.93043,                 0.8078,                0.71855,                0.66353,                0.71501,                0.31189,                 2.0586,                 2.8229,                0.93567,             0.00099409,             0.00099409,             0.00099409
                     75,                0.94498,                0.94035,                0.80704,                0.63931,                 0.7005,                0.66683,                0.27359,                 2.1201,                 2.9924,                0.96039,             0.00099393,             0.00099393,             0.00099393
                     76,                0.95263,                0.94704,                0.80478,                0.72585,                0.58983,                0.67417,                0.28142,                 2.0524,                  2.937,                0.94472,             0.00099377,             0.00099377,             0.00099377
                     77,                0.93619,                0.94285,                0.80435,                0.68574,                0.64109,                0.67642,                0.28838,                 1.9633,                 2.9429,                0.92481,              0.0009936,              0.0009936,              0.0009936
                     78,                0.95282,                 0.9388,                0.81012,                0.69292,                0.70933,                0.68798,                0.27956,                   2.01,                 2.8007,                0.93165,             0.00099344,             0.00099344,             0.00099344
                     79,                 0.9328,                0.92678,                0.80582,                0.74887,                0.57574,                0.65175,                0.28028,                  1.978,                 3.2715,                0.91752,             0.00099327,             0.00099327,             0.00099327
                     80,                0.93523,                0.93707,                  0.803,                0.66576,                0.62376,                0.64905,                0.26599,                 2.0926,                 2.9845,                0.95809,             0.00099309,             0.00099309,             0.00099309
                     81,                0.94856,                0.92959,                0.81147,                0.67077,                0.65594,                0.65408,                0.28765,                   2.04,                 3.0383,                0.93774,             0.00099292,             0.00099292,             0.00099292
                     82,                0.93109,                0.91494,                0.81129,                0.70461,                0.62871,                0.65455,                0.28328,                 2.0298,                 2.7866,                 0.9454,             0.00099274,             0.00099274,             0.00099274
                     83,                 0.9586,                0.95104,                0.80861,                0.64693,                0.68937,                0.65151,                0.28163,                 2.0342,                 2.8217,                0.95319,             0.00099256,             0.00099256,             0.00099256
